,emir,bgdes,bgblng,bgrsi,bgema,bgsma,blngbnd,ema,sma,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
0,kuvvetli al,"[0, 0, 0]","[0, 0, 0]","[0, 0.6, 0.0]","[0, 0, 0]","[0, 0, 0]",197.74687582489238,0.8104065743944635,0.8104065743944635,100.0,4.397843992538839,4.573956007461161,0.04193143212436252,4.4859,50.0,3.501468425605536,4.311875,4.4859,4.4859,2005-03-01,4.7461
1,al,"[0.3965571205007831, 0.20688575899843373, 0]","[0, 0.8129716933483607, 0.1870283066516393]","[1, 0, 0]","[0, 0, 0.6183758724928209]","[0, 0, 0.6183758724928209]",59.351415332581965,0.5011358725150945,0.5011358725150945,30.172143974960843,4.099352152850426,4.8131478471495726,0.16995135578551124,4.45625,0.0,4.172593294151572,4.673729166666666,4.45625,4.45625,2005-03-02,4.523
2,al,"[0, 0.7677621283255107, 0.11611893583724467]","[0, 0.8224654172741755, 0.17753458272582448]","[0, 0, 1]","[0, 0.5395312744189656, 0.23023436279051715]","[0, 0.5395312744189656, 0.23023436279051715]",58.87672913629122,0.18658344125695514,0.18658344125695514,55.80594679186223,4.259778229842556,4.845955103490779,0.1395659222971952,4.552866666666667,84.34530095036953,4.361538086520822,4.548121527777777,4.552866666666667,4.552866666666667,2005-03-03,4.6049
3,al,"[0.8604068857589959, 0, 0]","[0.3712963382805924, 0.6287036617194076, 0]","[0, 0.476723708257187, 0.30819072935703246]","[0, 0.7466104623782477, 0.12669476881087618]","[0, 0.7466104623782477, 0.12669476881087618]",31.43518308597038,0.10267427358572068,0.10267427358572068,6.9796557120502,4.285499780011636,4.805300219988363,0.12376200951826875,4.5454,53.081907293570325,4.492762647710576,4.595436921296296,4.5454,4.5454,2005-03-04,4.4489
4,al,"[0.7201877934272267, 0, 0]","[0.3435189675699489, 0.6564810324300511, 0]","[0, 0.2519450131617444, 0.870137467095639]","[0, 0.9907926261121772, 0.004603686943911415]","[0, 0.9907926261121772, 0.004603686943911415]",32.824051621502555,0.0037308581657997664,0.0037308581657997664,13.99061032863867,4.306949922947885,4.807650077052116,0.11921432240576922,4.5573,58.70137467095639,4.4691112200235,4.4728420781892995,4.5573,4.5573,2005-03-07,4.4713
5,al,"[0.8147104851330189, 0, 0]","[0.3536161097307718, 0.6463838902692283, 0]","[0, 0.6881162181471772, 0]","[0, 0.9980474454843473, 0.0009762772578263276]","[0, 0.9980474454843473, 0.0009762772578263276]",32.31919451346141,0.0007911815081742546,0.0007911815081742546,9.264475743349056,4.304421255918221,4.774045410748443,0.11181527495957663,4.539233333333333,47.79709454632057,4.470291444520632,4.471082626028807,4.539233333333333,4.549899999999999,2005-03-08,4.4562
6,kuvvetli al,"[1.0, 0, 0]","[0.5262143948548583, 0.4737856051451416, 0]","[0, 0.6338668522384586, 0]","[1.0, 0, 0]","[1.0, 0, 0]",23.68928025725708,-0.004521305893251615,-0.004521305893251615,0.0,4.305421111462375,4.753636031394767,0.10671783807914086,4.529528571428571,49.15332869403854,4.46269311659284,4.4581718106995885,4.529528571428571,4.558839999999999,2005-03-09,4.4116
7,al,"[0.7333333333333337, 0, 0]","[0.2876852199361953, 0.7123147800638047, 0]","[0, 0.6677077396557618, 0]","[1.0, 0, 0]","[1.0, 0, 0]",35.615739003190235,-0.016265656150925345,-0.016265656150925345,13.333333333333313,4.297332272676436,4.743392727323561,0.10620487015407748,4.520362499999999,48.307306508605954,4.4351429066653285,4.418877250514403,4.520362499999999,4.500859999999999,2005-03-10,4.4562
8,al,"[0.9545590433482808, 0, 0]","[0.4180094480994462, 0.5819905519005538, 0]","[0, 0.7611888491159562, 0]","[0, 0.9926238873019898, 0.0036880563490050825]","[0, 0.9926238873019898, 0.0036880563490050825]",29.09952759502769,0.002988825111970961,0.002988825111970961,2.272047832585963,4.295177862972539,4.7213776925830135,0.10147614990725658,4.508277777777777,45.970278772101096,4.4464972216987295,4.4494860468107005,4.508277777777777,4.478579999999999,2005-03-11,4.4192
9,sat,"[0, 0, 0.8212257100149449]","[0, 0, 0.9899484744558451]","[0, 0.6614588722193485, 0]","[0.4922785689689266, 0.015442862062146817, 0]","[0.4922785689689266, 0.015442862062146817, 0]",100.98250521921524,-0.008007233933318147,-0.008007233933318147,91.06128550074725,4.2940473175292375,4.712092682470762,0.09953461070036257,4.503069999999999,48.463528194516286,4.431778131567062,4.4237708976337435,4.503069999999999,4.4488400000000015,2005-03-14,4.7162
10,sat,"[0, 0, 0.9557548579970074]","[0, 0, 0.9931886521468387]","[0, 0.7329347284504232, 0]","[0, 0.7980278617447489, 0.10098606912762553]","[0, 0.7980278617447489, 0.10098606912762553]",100.6657879728031,0.08183977434328149,0.08183977434328149,97.78774289985037,4.255387463554452,4.735503445536458,0.11431332904333465,4.495445454545455,46.67663178873942,4.585142864545606,4.6669826388888875,4.495445454545455,4.4429,2005-03-15,4.7387
11,al,"[0, 0.6011958146487353, 0.19940209267563233]","[0, 0.6281805697861762, 0.3718194302138238]","[0, 0.245828527489428, 0.88542868127643]","[0, 0.856056778298749, 0.07197161085062549]","[0, 0.856056778298749, 0.07197161085062549]",68.59097151069119,0.0583262666031068,0.0583262666031068,59.97010463378162,4.2493091400131515,4.7783741933201815,0.1259678698350068,4.513841666666667,58.8542868127643,4.667943280721994,4.726269547325101,4.513841666666667,4.49188,2005-03-16,4.6122
12,al,"[0.6430493273542585, 0, 0]","[0.23175724789459537, 0.7682427521054046, 0]","[0, 0.21783824640967567, 0.9554043839758108]","[0.43938083761167845, 0.12123832477664305, 0]","[0.43938083761167845, 0.12123832477664305, 0]",38.41213760527023,-0.007146817623897128,-0.007146817623897128,17.847533632287075,4.272943897691738,4.7893330253851865,0.12294979230796375,4.531138461538462,59.55404383975811,4.637885629352291,4.630738811728394,4.531138461538462,4.54838,2005-03-17,4.4713
13,al,"[0.28849028400598103, 0.423019431988038, 0]","[0.02517988612782034, 0.9748201138721797, 0]","[0, 0.4257330113832359, 0.4356674715419103]","[1.0, 0, 0]","[1.0, 0, 0]",48.74100569360898,-0.05066446876593833,-0.05066446876593833,35.57548579970095,4.285594177124887,4.7882629657322555,0.11968304490651642,4.5369285714285725,54.3566747154191,4.548060044897625,4.497395576131686,4.5369285714285725,4.588500000000002,2005-03-18,4.5306
14,al,"[0, 0.6884902840059829, 0.15575485799700858]","[0, 0.7020493481103884, 0.2979506518896116]","[0, 0.5416106067533142, 0.14597348311671468]","[0.27737346817441283, 0.44525306365117434, 0]","[0.27737346817441283, 0.44525306365117434, 0]",64.89753259448058,-0.014052979414822529,-0.014052979414822529,57.78774289985043,4.2897390746370005,4.775367592029668,0.11562583747444448,4.532553333333333,51.45973483116715,4.538645314805769,4.524592335390946,4.532553333333333,4.59152,2005-03-21,4.6049
15,al,"[0, 0.6884902840059829, 0.15575485799700858]","[0, 0.6954884853530433, 0.3045115146469567]","[0, 0.9391297505704628, 0]","[0, 0.9589364481043604, 0.02053177594781982]","[0, 0.9589364481043604, 0.02053177594781982]",65.22557573234783,0.0166390862121073,0.0166390862121073,57.78774289985043,4.294447638496776,4.770414861503224,0.11332552928724965,4.53243125,41.52175623573843,4.574370880351678,4.591009966563785,4.53243125,4.6138,2005-03-22,4.6049
16,al,"[0.06606875934230189, 0.8678624813153962, 0]","[0, 0.8666890317356486, 0.13331096826435143]","[0, 0.4540237055520896, 0.36494073611977595]","[0, 0.9722497316904801, 0.013875134154759938]","[0, 0.9722497316904801, 0.013875134154759938]",56.66554841321757,0.01124449993962262,0.01124449993962262,46.696562032884906,4.30336086114217,4.770027374151948,0.11111107452613772,4.536694117647058,53.64940736119776,4.590832660554204,4.602077160493827,4.536694117647058,4.59154,2005-03-23,4.5678
17,al,"[0.24484304932735695, 0.5103139013452861, 0]","[0.011373271574223765, 0.9886267284257763, 0]","[0, 0.6, 0.0]","[0.10647512939952623, 0.7870497412009475, 0]","[0.10647512939952623, 0.7870497412009475, 0]",49.43133642128881,-0.005394505867811539,-0.005394505867811539,37.75784753363215,4.313342592300726,4.7676240743659415,0.10816225763457496,4.540483333333333,50.0,4.578413088686741,4.573018582818929,4.540483333333333,4.564780000000002,2005-03-24,4.5379
18,al,"[0.5557548579970104, 0, 0]","[0.2533850199334371, 0.7466149800665629, 0]","[0, 0.3418864647780305, 0.6452838380549238]","[0.2623905142625248, 0.4752189714749504, 0]","[0.2623905142625248, 0.4752189714749504, 0]",37.330749003328144,-0.013293876014332184,-0.013293876014332184,22.21225710014948,4.320830426807307,4.763011678455852,0.1052812503925106,4.541921052631579,56.45283838054924,4.556567795767418,4.543273919753086,4.541921052631579,4.5558999999999985,2005-03-28,4.4859
19,al,"[0.8212257100149501, 0, 0]","[0.45329827814435175, 0.5467017218556482, 0]","[0, 0.45658914728682276, 0.3585271317829431]","[0.46355611330386537, 0.07288777339226928, 0]","[0.46355611330386537, 0.07288777339226928, 0]",27.33508609278241,-0.023485824223743457,-0.023485824223743457,8.93871449925249,4.320629374175727,4.7628106258242715,0.1052812503925106,4.54172,53.58527131782943,4.518462611775184,4.49497678755144,4.54172,4.56922,2005-03-29,4.4415
20,al,"[0, 0.5127055306427502, 0.2436472346786249]","[0, 0.6450223304428948, 0.3549776695571052]","[0, 0.5384902143522831, 0.15377446411929227]","[0.5337835750484008, 0, 0]","[0.5337835750484008, 0, 0]",67.74888347785526,-0.0270438612658106,-0.0270438612658106,62.182361733931245,4.32232591783937,4.7611140821606295,0.1044733724574428,4.54172,51.53774464119292,4.476963164249349,4.449919302983538,4.539061904761905,4.5602800000000006,2005-03-30,4.6196
21,kuvvetli al,"[0, 0, 0]","[0, 0, 0.7798023652329317]","[0, 0.538063179699638, 0.154842050750905]","[0, 0.908808229030376, 0.045595885484812006]","[0, 0.908808229030376, 0.045595885484812006]",121.52363086251164,0.03695120536222874,0.03695120536222874,100.0,4.3432056806934085,4.741724319306591,0.09488539014599602,4.542465000000001,51.54842050750905,4.55387518352666,4.590826388888889,4.536947619047619,4.5276,2005-03-31,4.8275
22,kuvvetli sat,"[0, 0.14258235152680357, 0.42870882423659823]","[0, 0.28527877551690833, 0.7147212244830916]","[0, 0.3026387625113739, 0.7434030937215652]","[0, 0.787398313108386, 0.106300843445807]","[0, 0.787398313108386, 0.106300843445807]",85.73606122415458,0.08614690239215861,0.08614690239215861,71.43544121182991,4.294703207459244,4.777576792540757,0.11496990120988408,4.5361400000000005,57.43403093721565,4.701417976723068,4.7875648791152265,4.5461380952380965,4.5305399999999985,2005-04-01,4.7087
23,al,"[0.46429430151478823, 0.07141139697042348, 0]","[0.11278791364064503, 0.887212086359355, 0]","[0, 0, 1]","[0, 0.9604808884965386, 0.019759555751730738]","[0, 0.9604808884965386, 0.019759555751730738]",44.36060431796775,0.016013273888316526,0.016013273888316526,26.785284924260587,4.299875287277989,4.802854712722012,0.11975700605810075,4.5513650000000005,66.07606898180958,4.705344557901807,4.721357831790123,4.550014285714286,4.5824799999999986,2005-04-04,4.523
24,al,"[0.24885789853329995, 0.5022842029334, 0]","[0, 0.9543784977469101, 0.045621502253089974]","[0, 0.613740038472107, 0]","[1.0, 0, 0]","[1.0, 0, 0]",52.2810751126545,-0.051442615369423635,-0.051442615369423635,37.557105073335,4.31007035033597,4.803039649664031,0.11737364269715747,4.556555,49.656499038197325,4.607021511974361,4.5555788966049375,4.558857142857144,4.6166399999999985,2005-04-05,4.5678
25,sat,"[0, 0.14258235152680357, 0.42870882423659823]","[0, 0.3879632042929174, 0.6120367957070826]","[0, 0.9437724121443943, 0]","[0.4001641769706228, 0.19967164605875443, 0]","[0.4001641769706228, 0.19967164605875443, 0]",80.60183978535413,-0.02058549184052172,-0.02058549184052172,71.43544121182991,4.3177255624609785,4.802794437539019,0.11549258930429485,4.56026,41.40568969639014,4.585872657478382,4.56528716563786,4.554957142857143,4.62406,2005-04-06,4.7087
26,al,"[0, 0.855253666746814, 0.07237316662659296]","[0, 0.7164859192212109, 0.28351408077878915]","[0, 0.6756904193658361, 0]","[0, 0.9205344468177108, 0.03973277659114463]","[0, 0.9205344468177108, 0.03973277659114463]",64.17570403893946,0.03219970336841005,0.03219970336841005,53.61865833132965,4.31989435617361,4.810275643826392,0.11675744944113844,4.565085000000002,48.1077395158541,4.652103087269451,4.6843027906378625,4.560619047619047,4.6493199999999995,2005-04-07,4.6346
27,al,"[0.49939889396489584, 0.0012022120702083327, 0]","[0.2671253091934318, 0.7328746908065682, 0]","[0, 0.1952949198772586, 1]","[0.005806470143862765, 0.9883870597122745, 0]","[0.005806470143862765, 0.9883870597122745, 0]",36.64373454032841,-0.0002987000102647741,-0.0002987000102647741,25.03005530175521,4.345571756764138,4.8098482432358605,0.11054202058850504,4.577709999999999,60.117627003068534,4.642665148055531,4.642366448045267,4.57192380952381,4.667140000000002,2005-04-08,4.5157
