,emir,bgdes,bgblng,bgrsi,bgema,bgsma,blngbnd,ema,sma,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
0,kuvvetli al,"[0, 0, 0]","[0, 0.9518457747579058, 0.04815422524209424]","[0, 0.6, 0.0]","[0, 0, 0]","[0, 0, 0]",52.40771126210471,2.4549250288350617,2.4549250288350617,100.0,13.505040912685347,19.028959087314654,1.315218613006978,16.267,50.0,11.810213860053825,14.265138888888883,16.267,16.267,2005-03-01,16.4
1,sat,"[0, 0, 0.5985950827897654]","[0, 0.716657958406712, 0.2833420415932881]","[1, 0, 0]","[0, 0, 0.7165560050896636]","[0, 0, 0.7165560050896636]",64.1671020796644,1.7590912714566789,1.7590912714566789,79.92975413948827,12.997071917771835,17.676928082228173,1.1142514677276991,15.337,0.0,14.285098543358135,16.044189814814814,15.337,15.337,2005-03-02,16.0
2,kuvvetli al,"[0, 0, 0]","[0, 0.5997257592967822, 0.4002742407032179]","[0, 0.5309628860628086, 0.17259278484297838]","[0, 0.3502329801738703, 0.32488350991306486]","[0, 0.3502329801738703, 0.32488350991306486]",70.01371203516089,0.7975646599413668,0.7975646599413668,100.0,13.753495251862129,17.629171414804535,0.9227800387958114,15.691333333333333,51.725927848429784,15.209800309194437,16.007364969135804,15.691333333333333,15.691333333333333,2005-03-03,16.467
3,al,"[0, 0, 0.805825242718447]","[0, 0.7233432530941557, 0.27665674690584424]","[0, 0.7255584293439915, 0]","[0, 0.5904623950940646, 0.2047688024529677]","[0, 0.5904623950940646, 0.2047688024529677]",63.83283734529221,0.5026920582663728,0.5026920582663728,90.29126213592235,13.96662816576761,17.57037183423239,0.8580342067773283,15.7685,46.86103926640021,15.88770210325626,16.390394161522632,15.7685,15.7685,2005-03-04,16.267
4,al,"[0, 0, 0.8699029126213589]","[0, 0.741091854749197, 0.258908145250803]","[0, 0.5152542372881359, 0.21186440677966017]","[0, 0.8422787490143199, 0.07886062549284009]","[0, 0.8422787490143199, 0.07886062549284009]",62.94540726254015,0.19359692331196146,0.19359692331196146,93.49514563106794,14.267463670177321,17.548936329822677,0.7813030142012761,15.9082,52.1186440677966,16.092225478951413,16.285822402263374,15.9082,15.9082,2005-03-07,16.333
5,al,"[0, 0.03689320388349358, 0.4815533980582532]","[0.022942666726051327, 0.9770573332739487, 0]","[0, 0.6, 0.0]","[0, 0.9172779386358426, 0.0413610306820787]","[0, 0.9172779386358426, 0.0413610306820787]",48.852866663697434,0.10153822943984993,0.10153822943984993,74.07766990291266,14.442458073339179,17.493541926660814,0.7264485365051508,15.967999999999998,50.0,16.222054877556037,16.323593106995887,15.967999999999998,15.9082,2005-03-08,15.933
6,al,"[0, 0, 0.7407766990291265]","[0, 0.8727898604104919, 0.12721013958950805]","[0, 0.5735258724428403, 0.0661853188928994]","[1.0, 0, 0]","[1.0, 0, 0]",56.3605069794754,-0.0698506467993063,-0.0698506467993063,87.03883495145632,14.606284312238168,17.434001402047542,0.6732659737641363,16.020142857142854,50.661853188928994,16.066191953383665,15.996341306584359,16.020142857142854,16.2934,2005-03-09,16.2
7,al,"[0, 0, 0.805825242718447]","[0, 0.8060961227897283, 0.19390387721027166]","[0, 0.7240252506498328, 0]","[0, 0.9788190226456644, 0.010590488677167753]","[0, 0.9788190226456644, 0.010590488677167753]",59.695193860513584,0.02599885572117344,0.02599885572117344,90.29126213592235,14.67998312969141,17.33851687030859,0.6329842239564721,16.00925,46.89936873375418,16.138343351068944,16.164342206790117,16.00925,16.2,2005-03-10,16.267
8,al,"[0, 0.2951456310679583, 0.35242718446602084]","[0.18245048368813882, 0.8175495163118611, 0]","[0, 0.6237042278436229, 0]","[0, 0.9670795578574518, 0.016460221071274112]","[0, 0.9670795578574518, 0.016460221071274112]",40.87747581559306,0.04040860868802909,0.04040860868802909,67.62135922330104,14.76739246570406,17.29349642318483,0.6014533232097065,16.030444444444445,49.40739430390943,16.207717034316087,16.248125643004116,16.030444444444445,16.240000000000002,2005-03-11,15.8
9,al,"[0, 0.6834951456310674, 0.1582524271844663]","[0.3756029208150977, 0.6243970791849023, 0]","[0, 0.6, 0.0]","[1.0, 0, 0]","[1.0, 0, 0]",31.219853959245114,-0.11492529800790585,-0.11492529800790585,57.912621359223316,14.845110466546545,17.263089533453453,0.5757093016445014,16.0541,50.0,15.987869613851528,15.872944315843622,16.0541,16.199999999999996,2005-03-14,15.6
