,emir,bgdes,bgblng,bgrsi,bgema,bgsma,blngbnd,ema,sma,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
0,kuvvetli al,"[0.44262295081966935, 0.11475409836066135, 0]","[0, 0.8123213851651585, 0.18767861483484155]","[0, 0.6, 0.0]","[0, 0, 0]","[0, 0, 0]",59.38393074174208,5.130738177623988,5.130738177623988,27.868852459016534,25.924196213300014,27.735803786699968,0.4313351365237961,26.83,50.0,21.462317377931566,26.593055555555555,26.83,26.83,2005-03-21,27.0
1,al,"[0.6721311475409806, 0, 0]","[0.3100971244950189, 0.6899028755049811, 0]","[0, 0.6, 0.0]","[0, 0.03177549640018718, 0.4841122517999063]","[0, 0.03177549640018718, 0.4841122517999063]",34.495143775249055,2.483853212565297,2.483853212565297,16.39344262295097,26.47391679797472,27.796083202025283,0.3148015247739453,27.135,50.0,24.448322713360625,26.93217592592592,27.135,27.135,2005-03-22,26.93
2,kuvvetli al,"[1.0, 0, 0]","[0.0, 0, 0]","[0, 0.27619047619047393, 0.8095238095238152]","[0, 0.5541068048563051, 0.22294659757184737]","[0, 0.5541068048563051, 0.22294659757184737]",-59.67389116338802,1.143880619733249,1.143880619733249,0.0,26.524687696932038,27.655312303067962,0.26919633479426736,27.09,58.09523809523815,25.78648203458773,26.930362654320984,27.09,27.09,2005-03-23,25.85
3,al,"[1.0, 0, 0]","[0.8150126560542112, 0, 0]","[0, 0.4214285714285697, 0.4464285714285758]","[0, 0.9184021802548898, 0.040798909872555064]","[0, 0.9184021802548898, 0.040798909872555064]",-11.038914629225225,0.2093285244885585,0.2093285244885585,0.0,25.821275661509056,28.27872433849094,0.5851068278528286,27.05,54.46428571428576,25.820731917898268,26.030060442386823,27.05,27.05,2005-03-24,25.55
4,kuvvetli al,"[0.8201058201058221, 0, 0]","[0.7073305475969066, 0.29266945240309344, 0]","[0.2272727272727167, 0.5090909090909134, 0]","[1.0, 0, 0]","[1.0, 0, 0]",14.633472620154672,-0.047614247329789805,-0.047614247329789805,8.994708994708894,25.26899487346732,28.351005126532673,0.7338119650155615,26.809999999999995,27.727272727272833,25.674749020992344,25.627134773662554,26.809999999999995,26.809999999999995,2005-03-28,25.72
5,kuvvetli al,"[1.0, 0, 0]","[0.9550487083760211, 0.04495129162397887, 0]","[0.5599999999999923, 0.37600000000000305, 0]","[0, 0.9990517031480928, 0.0004741484259536092]","[0, 0.9990517031480928, 0.0004741484259536092]",2.247564581198944,0.002432731430900504,0.002432731430900504,0.0,25.02939947790661,28.170600522093377,0.7479050105206575,26.6,24.400000000000077,25.69914905869255,25.70158179012345,26.6,26.554,2005-03-29,25.1
6,kuvvetli al,"[1.0, 0, 0]","[0.9774018848739807, 0, 0]","[0.07865168539325537, 0.5685393258426978, 0]","[1.0, 0, 0]","[1.0, 0, 0]",-1.348517462527785,-0.1787083746601965,-0.1787083746601965,0.0,24.697909487243706,28.25066194132772,0.8458934414485751,26.474285714285717,29.213483146067446,25.37607848782893,25.19737011316873,26.474285714285717,26.21,2005-03-30,24.65
7,kuvvetli al,"[1.0, 0, 0]","[0.9594986388356098, 0, 0]","[0.6291793313069874, 0.348328267477205, 0]","[1.0, 0, 0]","[1.0, 0, 0]",-2.4168738180928857,-0.2462232423341497,-0.2462232423341497,0.0,24.277865712035872,28.327134287964125,0.9641115656972024,26.3025,23.708206686930126,24.984565577725093,24.738342335390943,26.3025,25.83,2005-03-31,24.18
8,kuvvetli al,"[1.0, 0, 0]","[0.8812281904717336, 0, 0]","[0.914438502673795, 0.23422459893048198, 0]","[1.0, 0, 0]","[1.0, 0, 0]",-7.087576035068424,-0.28044441774381923,-0.28044441774381923,0.0,23.81638362287971,28.42139415489807,1.0964310790519902,26.11888888888889,20.85561497326205,24.55073119757921,24.27028677983539,26.11888888888889,25.374,2005-04-01,23.49
9,kuvvetli al,"[0.9949367088607588, 0, 0]","[0.9069964108844243, 0.09300358911557566, 0]","[1, 0.1410926365795734, 0]","[1.0, 0, 0]","[1.0, 0, 0]",4.650179455778783,-0.3614586261418609,-0.3614586261418609,0.2531645569620647,23.25134002637855,28.598659973621448,1.2731714160102148,25.925,18.527315914489336,23.97876829692375,23.61730967078189,25.925,25.04000000000001,2005-04-04,23.5
10,kuvvetli al,"[1.0, 0, 0]","[0.7969405851482319, 0.20305941485176818, 0]","[1, 0.0367346938775512, 0]","[0.5638644063285676, 0, 0]","[0.5638644063285676, 0, 0]",10.152970742588408,-0.20381365364182005,-0.20381365364182005,0.0,22.82558446568999,28.581688261582734,1.3705009037839881,25.703636363636363,15.91836734693878,23.72060892113153,23.51679526748971,25.703636363636363,24.628,2005-04-05,23.41
11,kuvvetli al,"[1.0, 0, 0]","[0.7125925134653233, 0.28740748653467674, 0]","[1, 0.04358452138493078, 0]","[0.35416061093192663, 0.2916787781361467, 0]","[0.35416061093192663, 0.2916787781361467, 0]",14.370374326733836,-0.12801440786101634,-0.12801440786101634,0.0,22.502847897819482,28.53715210218052,1.4367390962764364,25.52,16.08961303462327,23.55312371856061,23.425109310699593,25.52,24.184,2005-04-06,23.37
12,kuvvetli al,"[0.9852579852579865, 0, 0]","[0.630285095352295, 0.36971490464770496, 0]","[1, 0.03200000000000152, 0]","[0.21534228671782477, 0.5693154265643504, 0]","[0.21534228671782477, 0.5693154265643504, 0]",18.48574523238525,-0.07783732710727165,-0.07783732710727165,0.7371007371006777,22.25164978482721,28.46373483055741,1.479067868030997,25.357692307692307,15.800000000000038,23.45438053698381,23.376543209876537,25.357692307692307,23.846,2005-04-07,23.4
13,kuvvetli al,"[0.9361179361179366, 0, 0]","[0.5445297000995708, 0.4554702999004292, 0]","[1, 0.02698412698412895, 0]","[0.0873086647727913, 0.8253826704544174, 0]","[0.0873086647727913, 0.8253826704544174, 0]",22.77351499502146,-0.03155847001905343,-0.03155847001905343,3.194103194103169,22.06489572540333,28.36653284602525,1.5003897906242645,25.215714285714288,15.674603174603224,23.42505769841411,23.393499228395058,25.215714285714288,23.59,2005-04-08,23.5
14,kuvvetli al,"[1.0, 0, 0]","[0.5494649024012935, 0.4505350975987064, 0]","[1, 0, 0]","[0, 0.994439495137152, 0.0027802524314240007]","[0, 0.994439495137152, 0.0027802524314240007]",22.52675487993532,0.01426474729333904,0.01426474729333904,0.0,21.937655801940352,28.251677531392986,1.5033385070125314,25.09466666666667,4.708520179372144,23.465467762994727,23.479732510288066,25.09466666666667,23.434,2005-04-11,23.36
15,kuvvetli al,"[1.0, 0, 0]","[0.535010165661888, 0.46498983433811203, 0]","[1, 0, 0]","[0.08620877450786749, 0.827582450984265, 0]","[0.08620877450786749, 0.827582450984265, 0]",23.249491716905602,-0.03116090519498726,-0.03116090519498726,0.0,21.826835899972053,28.16316410002794,1.5086495714418788,24.995,7.524271844660162,23.408597890791693,23.377436985596706,24.995,23.436,2005-04-12,23.3
16,kuvvetli al,"[1.0, 0, 0]","[0.5762221068255299, 0.4237778931744701, 0]","[1, 0, 0]","[0.10967459390971793, 0.7806508121805642, 0]","[0.10967459390971793, 0.7806508121805642, 0]",21.188894658723505,-0.03964282803727315,-0.03964282803727315,0.0,21.72500651033391,28.072640548489623,1.511341437656121,24.898823529411764,7.398568019093047,23.350040204580484,23.31039737654321,24.898823529411764,23.408,2005-04-13,23.07
17,kuvvetli al,"[1.0, 0, 0]","[0.5506397672791032, 0.4493602327208967, 0]","[1, 0, 0]","[0.25307572837452175, 0.4938485432509565, 0]","[0.25307572837452175, 0.4938485432509565, 0]",22.468011636044835,-0.0914764050881054,-0.0914764050881054,0.0,21.61371795757369,28.0062820424263,1.5220390678220477,24.81,9.779179810725507,23.19903813348316,23.10756172839505,24.81,23.386,2005-04-14,23.05
18,kuvvetli al,"[1.0, 0, 0]","[0.5200548633197141, 0.47994513668028593, 0]","[1, 0, 0]","[0.17038887510738035, 0.6592222497852394, 0]","[0.17038887510738035, 0.6592222497852394, 0]",23.997256834014298,-0.06158852870617083,-0.06158852870617083,0.0,21.51025751007495,27.926584595188203,1.5276969250269643,24.71842105263157,9.999999999999973,23.11867443405597,23.057085905349805,24.71842105263157,23.326,2005-04-15,23.05
19,al,"[0.9544419134396365, 0, 0]","[0.4794989023985674, 0.5205010976014326, 0]","[1, 0, 0]","[0.09124571428456535, 0.8175085714308693, 0]","[0.09124571428456535, 0.8175085714308693, 0]",26.02505488007163,-0.032981550526631764,-0.032981550526631764,2.2779043280181743,21.53801689415413,27.73198310584587,1.474753859926605,24.635,4.74576271186443,23.081644101966962,23.04866255144033,24.635,23.256,2005-04-18,23.15
20,al,"[0.7494305239179951, 0, 0]","[0.30513556843388073, 0.6948644315661192, 0]","[1, 0, 0]","[0, 0.9952816452409138, 0.002359177379543087]","[0, 0.9952816452409138, 0.002359177379543087]",34.74322157830596,0.012104321449008635,0.012104321449008635,12.528473804100242,21.673461864435787,27.218538135564213,1.3202562550305788,24.445999999999998,6.0085836909871375,23.118502674435764,23.130606995884772,24.559523809523807,23.166,2005-04-19,23.6
21,al,"[0.5763097949886106, 0, 0]","[0.10383717807803777, 0.8961628219219623, 0]","[1, 0, 0]","[0, 0.9449836482907558, 0.027508175854622098]","[0, 0.9449836482907558, 0.027508175854622098]",44.80814109609811,0.141137248054104,0.141137248054104,21.18451025056947,21.80943880135121,26.65356119864879,1.1533624755470413,24.2315,12.121212121212055,23.378133585279226,23.51927083333333,24.384285714285717,23.124,2005-04-20,23.98
22,al,"[0.371298405466971, 0.2574031890660579, 0]","[0, 0.8123678786585441, 0.1876321213414559]","[0, 0.8081632653061246, 0]","[0, 0.9227908146013525, 0.03860459269932374]","[0, 0.9227908146013525, 0.03860459269932374]",59.3816060670728,0.1980700575940446,0.1980700575940446,31.43507972665145,22.097550558052397,26.025449441947607,0.9352140199750508,24.0615,35.204081632653114,23.702669397138468,23.900739454732513,24.201428571428572,23.184,2005-04-21,24.43
23,al,"[0.45785876993166397, 0.08428246013667205, 0]","[0, 0.8125800044821909, 0.18741999551780908]","[0, 0.006060606060602822, 1]","[0, 0.9047067981744488, 0.04764660091277562]","[0, 0.9047067981744488, 0.04764660091277562]",59.37099977589045,0.24446223433719186,0.24446223433719186,27.1070615034168,22.17459114397418,25.653408856025823,0.8282899314408668,23.914,64.84848484848493,24.0948574673089,24.33931970164609,24.057619047619053,23.366,2005-04-22,24.24
24,sat,"[0.0068337129840547566, 0.9863325740318905, 0]","[0, 0.09826437734860577, 0.9017356226513943]","[0, 0, 1]","[0, 0.968440222187435, 0.015779888906282492]","[0, 0.968440222187435, 0.015779888906282492]",95.08678113256971,0.08096247845012883,0.08096247845012883,49.65831435079726,22.304855154483338,25.381144845516662,0.7324499264365053,23.843000000000004,72.24880382775123,24.17312059768155,24.25408307613168,23.93857142857143,23.642000000000003,2005-04-25,25.23
25,kuvvetli al,"[0, 0.8587699316628726, 0.07061503416856368]","[0, 0, 0]","[0, 0, 1]","[0, 0.8745366868901523, 0.06273165655492384]","[0, 0.8745366868901523, 0.06273165655492384]",107.69698045433293,0.32185970523194385,0.32185970523194385,53.530751708428184,22.371447215934285,25.183552784065714,0.6695489447931975,23.7775,68.9497716894977,24.74300654991209,25.064866255144032,23.861904761904764,23.88,2005-04-26,25.4
26,sat,"[0.125284738041003, 0.749430523917994, 0]","[0, 0.1765773409759828, 0.8234226590240172]","[0, 0, 1]","[0, 0.904751521555325, 0.04762423922233745]","[0, 0.904751521555325, 0.04762423922233745]",91.17113295120086,0.2443475023583445,0.2443475023583445,43.73576309794985,22.275022697987836,25.230977302012164,0.7037987152438877,23.753,79.61783439490445,25.0972677239791,25.341615226337446,23.84666666666667,24.296,2005-04-27,24.97
27,sat,"[0.22095671981776732, 0.5580865603644654, 0]","[0, 0.35123406768346965, 0.6487659323165303]","[0, 0, 1]","[0, 0.9997181586492075, 0.00014092067539622438]","[0, 0.9997181586492075, 0.00014092067539622438]",82.43829661582652,0.0007230270892719659,0.0007230270892719659,38.952164009111634,22.238943138987132,25.29705686101287,0.7281223147680322,23.768,80.48780487804876,25.028642970853113,25.029365997942385,23.83142857142857,24.656,2005-04-28,24.76
28,kuvvetli al,"[0, 0, 0.5717539863325735]","[0, 0, 0]","[0, 0, 1]","[0.22550363028778478, 0.5489927394244305, 0]","[0.22550363028778478, 0.5489927394244305, 0]",135.56614829534462,-0.08151023239382482,-0.08151023239382482,78.58769931662867,22.196923770610017,25.37107622938999,0.7557505854238029,23.784,70.36011080332409,24.88378646696173,24.802276234567906,23.825238095238102,24.85400000000001,2005-04-29,26.5
